PrYVO_05,intensity,PrYVO_05_90,intensity
22.53923047,1338,22.53923047,25429
22.56549104,1272,22.56549104,37834
22.59175161,1265,22.59175161,19727
22.61801218,1298,22.61801218,7129
22.64427275,1291,22.64427275,4555
22.67053332,1297,22.67053332,3700
22.69679389,1282,22.69679389,3365
22.72305446,1277,22.72305446,3128
22.74931503,1280,22.74931503,2964
22.7755756,1275,22.7755756,2746
22.80183617,1267,22.80183617,2894
22.82809674,1263,22.82809674,2822
22.85435731,1270,22.85435731,2888
22.88061788,1319,22.88061788,2951
22.90687845,1343,22.90687845,2974
22.93313902,1324,22.93313902,2873
22.95939959,1202,22.95939959,2961
22.98566016,1279,22.98566016,3129
23.01192073,1266,23.01192073,3045
23.0381813,1297,23.0381813,3053
23.06444187,1267,23.06444187,3175
23.09070244,1236,23.09070244,3094
23.11696301,1240,23.11696301,3160
23.14322358,1256,23.14322358,3180
23.16948415,1297,23.16948415,3259
23.19574472,1251,23.19574472,3197
23.22200529,1286,23.22200529,3295
23.24826586,1267,23.24826586,3287
23.27452643,1254,23.27452643,3399
23.300787,1274,23.300787,3353
23.32704757,1204,23.32704757,3403
23.35330814,1245,23.35330814,3439
23.37956871,1241,23.37956871,3445
23.40582928,1268,23.40582928,3480
23.43208985,1252,23.43208985,3602
23.45835042,1219,23.45835042,3555
23.48461099,1219,23.48461099,3664
23.51087156,1243,23.51087156,3967
23.53713213,1253,23.53713213,3980
23.5633927,1259,23.5633927,4035
23.58965327,1237,23.58965327,4088
23.61591384,1204,23.61591384,4246
23.64217441,1220,23.64217441,4157
23.66843498,1247,23.66843498,4349
23.69469555,1170,23.69469555,4662
23.72095612,1221,23.72095612,4788
23.74721669,1178,23.74721669,5187
23.77347726,1223,23.77347726,5358
23.79973783,1142,23.79973783,5416
23.8259984,1177,23.8259984,5751
23.85225897,1204,23.85225897,6055
23.87851954,1167,23.87851954,7013
23.90478011,1256,23.90478011,8835
23.93104068,1169,23.93104068,11459
23.95730125,1193,23.95730125,11447
23.98356182,1242,23.98356182,9106
24.00982239,1213,24.00982239,8885
24.03608296,1185,24.03608296,10020
24.06234353,1185,24.06234353,11412
24.0886041,1157,24.0886041,15723
24.11486467,1168,24.11486467,24208
24.14112524,1175,24.14112524,34029
24.16738581,1205,24.16738581,39789
24.19364638,1143,24.19364638,43367
24.21990695,1130,24.21990695,47014
24.24616752,1194,24.24616752,52061
24.27242809,1199,24.27242809,57368
24.29868866,1163,24.29868866,63057
24.32494923,1203,24.32494923,70125
24.3512098,1158,24.3512098,76121
